domain,grade,score,severity,violations,violation_count,spf_present,spf_lookups,spf_all,mx_present,mx_count,dmarc_present,dmarc_policy,dmarc_pct,dmarc_rua,dkim_present,dkim_selectors,dkim_algos,mta_sts_present,mta_sts_mode,tls_rpt_present,tls_rpt_rua,starttls_grade,starttls_worst,notes,advice
﻿# AuroraEdge Academic Dataset,F,0,HIGH,"R1_MX_MISSING,R2_SPF_MISSING,R4_DMARC_MISSING,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",6,False,0,,False,0,False,,100,,False,,,False,,False,,,,,No MX records found - domain cannot receive email | SPF record not published - enables spoofing | DMARC not published - no policy enforcement or reporting | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
belfastmet.ac.uk,D,56,WARN,"R3C_SPF_SOFTFAIL,R5_DMARC_NONE,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",6,True,1,~all,True,3,True,none,100,mailto:rua+belfastmet.ac.uk@dmarc.barracudanetworks.com,False,,,False,,False,,,,,"SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC policy is p=none - monitoring only, no enforcement | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement"
qub.ac.uk,C,66,WARN,"R3C_SPF_SOFTFAIL,R5_DMARC_NONE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,4,~all,True,1,True,none,100,mailto:516acbea@inbox.ondmarc.com,True,"k2,selector1,selector2",rsa,False,,False,,,,,"SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC policy is p=none - monitoring only, no enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement"
ulster.ac.uk,A+,100,OK,,0,True,5,-all,True,1,True,reject,100,mailto:dmarc_agg@vali.email,True,"mail,selector1,selector2",rsa,True,enforce,True,mailto:tls-rua@mailcheck.service.ncsc.gov.uk,,,,All checks passed
oxford.ac.uk,D,45,HIGH,"R4_DMARC_MISSING,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING",4,True,0,-all,True,1,False,,100,,False,,,False,,False,,,,,DMARC not published - no policy enforcement or reporting | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports
cam.ac.uk,A,90,WARN,R8_MTA_STS_MISSING,1,True,6,-all,True,1,True,reject,100,"mailto:dmarc-rua@dmarc.service.gov.uk, mailto:jiq3dpgf@ag.eu.dmarcian.com",True,"google,selector1,selector2",rsa,False,,True,mailto:tls-rua@mailcheck.service.ncsc.gov.uk,,,,MTA-STS policy not found - TLS not enforced for inbound mail
imperial.ac.uk,D,56,WARN,"R3C_SPF_SOFTFAIL,R5_DMARC_NONE,R6_DKIM_NOT_FOUND,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",6,True,2,~all,True,4,True,none,100,"mailto:dmarc-reports@imperial.ac.uk,mailto:dmarc_agg@vali.email",False,,,False,,False,,,,,"SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC policy is p=none - monitoring only, no enforcement | No common DKIM selectors found - message integrity unverified | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement"
ucl.ac.uk,D,43,HIGH,"R3B_SPF_PERMISSIVE,R5_DMARC_NONE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,10,?all,True,1,True,none,100,"mailto:dmarc@ucl.ac.uk, mailto:dmarc_agg@dmarc.250ok.net",True,"k2,selector1",rsa,False,,False,,,,,"SPF uses ?all - allows any sender | DMARC policy is p=none - monitoring only, no enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement"
ed.ac.uk,C,66,WARN,"R3C_SPF_SOFTFAIL,R5_DMARC_NONE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,2,~all,True,4,True,none,100,"mailto:dmarc-rua@dmarc.service.gov.uk,mailto:dmarc_agg@vali.email",True,"selector1,selector2",rsa,False,,False,,,,,"SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC policy is p=none - monitoring only, no enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement"
manchester.ac.uk,C,66,WARN,"R3C_SPF_SOFTFAIL,R5_DMARC_NONE,R8_MTA_STS_MISSING,R10_TLS_RPT_MISSING,R12_NO_STRICT_POLICY",5,True,2,~all,True,2,True,none,100,"mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:dmarc-rua@dmarc.service.gov.uk",True,k2,rsa,False,,False,,,,,"SPF uses ~all (softfail) - consider -all for strict enforcement | DMARC policy is p=none - monitoring only, no enforcement | MTA-STS policy not found - TLS not enforced for inbound mail | TLS-RPT record missing - not receiving TLS failure reports | Neither SPF nor DMARC have strict enforcement"
